id,name,latitude,longitude,address_line_1,address_line_2,city,state,postal_code,country,phone,website,email,description
118253021,‘Med Spa Jamaica,51.39479141,-0.29227210,"2 Seymour Ave, Unit 29",,Kingston,FL,00875,,,http://Www.emedspajamaica.com,,
118253342,‘Med Spa Jamaica,41.38995661,-73.08165780,"2 Seymour Ave, unit 29 Seymour Park",,Jamaica,FL,00876,,(876) 648-8180,http://Www.emedspajamaica.com,,
118253058,@Skyn Stuff Esthetics,37.08506076,-76.46751253,729 Thimble shoals blvd,,Newport News,VA,23606,,(757) 952-5893,http://Skynstuff.com,,
118252007,111 Phase,40.57116647,-74.51271221,409 Union Ave - Suite 4,,Middlesex,NJ,08846,,(908) 502-8005,http://111phase.com,,
118250862,20!20 Vision,34.01505573,-81.00091327,1600 St. Julien Pl,,Columbia,SC,29204,,(803) 748-9994,http://www.2020visionsc.com,,
118253427,29:11 Aesthetics & Wellness,32.59669194,-93.71190634,182 Barclay Blvd,,Bossier City,LA,71111,,(318) 716-8963,http://2911aestheticsandwellness.com,,
118253429,32 Cryo Studio & Med Spa,31.76154520,-93.08665153,133 Denis,,Natchitoches,LA,71457,,(318) 228-3520,http://cryostudio-la.com,,
118252841,321 Medspa & Hydration,35.72035852,-79.17231297,287 east st,,Pittsboro,NC,27312,,(984) 282-2555,http://321medspa.com,,
118251576,360 body med spa,33.09155422,-96.80315860,8308 Preston rd unit 200 suite 235,,Plano,TX,75024,,(945) 426-9177,http://www.360bodymedspa.com,,
118251625,360 Esthetics,26.28884307,-98.16741608,"1409 S. 9th Avenue, Suite 308",,Edinburg,TX,78539,,(830) 278-0778,http://www.instagram.com/_360esthetics_?igsh=MXNtNmJiM3R1dzVyZA%3D%3D&utm_source=qr,,
118251626,360 Esthetics,26.28884307,-98.16741608,"1409 S 9th Avenue, Suite 308",,Edinburg,TX,78539,,(830) 278-0778,http://www.instagram.com/_360esthetics_?igsh=MXNtNmJiM3R1dzVyZA%3D%3D&utm_source=qr,,
118252466,4 Ever Glow Med Spa and Salon,29.78147170,-95.80098810,722 Katy Fort Bend Dr,,Richmond,TX,77407,,(281) 394-2207,,,
118252282,417 Refine,37.15806088,-93.23741528,2918 East Battlefield Road,,Springfield,MO,65804,,(417) 221-6419,http://417-refine.com,,
118253104,417 Refine - Joplin,37.08640300,-94.51244700,516 S. Virginia Ave,,Joplin,MO,64801,,(417) 414-0148,http://417-refine.com,,
118251794,4Ever Young - Wellington,26.64994300,-80.21530000,10620 W. Forest Hill Blvd Suite 50,,Wellington,FL,33414,,,http://4everyoungantiaging.com,,
